system,n,rho,rinf,mc_regret,mc_se,cov_regret,mc_normalized,cov_normalized,theory_normalized
A,8,0.0,2.8123772510346567,0.0,0.0,0.0,0.0,0.0,0.0
A,8,0.125,2.8123772510346567,0.6277549723334157,0.003141806387047052,0.6220956456366611,0.2232115098009943,0.22119921692859512,0.22119921692859512
A,8,0.25,2.8123772510346567,1.1027345167438085,0.00549716158126057,1.106584221603804,0.39210049659522705,0.3934693402873666,0.3934693402873666
A,8,0.375,2.8123772510346567,1.48041732119427,0.007388525352754142,1.4839043039561646,0.526393577052877,0.5276334472589853,0.5276334472589853
A,8,0.5,2.8123772510346567,1.785715974264039,0.008952951053471525,1.77776147956075,0.6349489470543416,0.6321205588285577,0.6321205588285577
A,8,0.625,2.8123772510346567,2.019982009271281,0.0101654684940916,2.0066176780327525,0.7182471727532789,0.7134952031398099,0.7134952031398099
A,8,0.75,2.8123772510346567,2.197416376913374,0.010949525553537818,2.184851064613493,0.7813377014427768,0.7768698398515701,0.7768698398515702
A,8,0.875,2.8123772510346567,2.305499762181136,0.01134820256419085,2.3236593656520417,0.8197690268376893,0.8262260565495547,0.8262260565495548
A,8,1.0,2.8123772510346567,2.4426986046211234,0.012338523058832498,2.431763379197675,0.8685529666130208,0.8646647167633873,0.8646647167633873
A,8,1.125,2.8123772510346567,2.494207018785275,0.012433337183909208,2.515954869600176,0.8868678687639331,0.8946007754381357,0.8946007754381357
A,8,1.25,2.8123772510346567,2.586058378563717,0.01289599358115063,2.5815232682535925,0.9195275554203552,0.9179150013761012,0.9179150013761012
A,8,1.375,2.8123772510346567,2.6274532667874615,0.013034428995578379,2.6325879884696115,0.9342463802894285,0.9360721387932924,0.9360721387932924
A,8,1.5,2.8123772510346567,2.666056023439147,0.013241302804963747,2.672357232561169,0.9479724039363214,0.950212931632136,0.950212931632136
A,8,1.625,2.8123772510346567,2.712323580316049,0.013564609658802336,2.703329551001832,0.9644238088322615,0.961225792168278,0.961225792168278
A,8,1.75,2.8123772510346567,2.7334944846835088,0.01360931268713256,2.7274508168569573,0.9719515700384337,0.9698026165776816,0.9698026165776815
A,8,1.875,2.8123772510346567,2.730230093130946,0.013465317575188759,2.746236477593602,0.9707908468277187,0.9764822541439909,0.9764822541439909
A,8,2.0,2.8123772510346567,2.769721798669429,0.013746432993625069,2.7608667648858147,0.984832954985134,0.9816843611112657,0.9816843611112658
A,8,2.125,2.8123772510346567,2.766967183179759,0.013691528894552244,2.77226084408555,0.983853493396666,0.9857357660910008,0.9857357660910008
A,8,2.25,2.8123772510346567,2.7857464112314885,0.013862878179081165,2.7811345618886816,0.9905308436862903,0.9888910034617577,0.9888910034617577
A,8,2.375,2.8123772510346567,2.7748230076894176,0.01380200830372794,2.788045420262515,0.9866467973557164,0.9913483047968795,0.9913483047968794
A,8,2.5,2.8123772510346567,2.802849455676793,0.014159993434543421,2.7934276021757514,0.9966121915705446,0.9932620530009145,0.9932620530009145
A,8,2.625,2.8123772510346567,2.7903552266524554,0.013942293007869236,2.797619249664413,0.9921696051359754,0.9947524816008186,0.9947524816008186
A,8,2.75,2.8123772510346567,2.811114991243793,0.014159635696281621,2.800883708010942,0.9995511769303357,0.9959132285615359,0.995913228561536
A,8,2.875,2.8123772510346567,2.814692091239312,0.013834988212256342,2.803426070727523,1.000823090218001,0.9968172192034903,0.9968172192034903
A,8,3.0,2.8123772510346567,2.809967380310763,0.014087618373721834,2.805406064802048,0.9991431196781986,0.9975212478233337,0.9975212478233336
B,20,0.0,7.159866681915648,0.0,0.0,0.0,0.0,0.0,0.0
B,20,0.125,7.159866681915648,1.5864262858836253,0.006917173584998441,1.58375690335288,0.2215720426597624,0.22119921692859515,0.22119921692859512
B,20,0.25,7.159866681915648,2.8244087711673385,0.012143815087577054,2.8171880198788464,0.3944778438823749,0.39346934028736663,0.3934693402873666
B,20,0.375,7.159866681915648,3.7652728463778096,0.015954578001053835,3.777785139293906,0.5258858877761111,0.5276334472589853,0.5276334472589853
B,20,0.5,7.159866681915648,4.516350897921204,0.019493845790342516,4.52589892811049,0.6307870102286371,0.6321205588285577,0.6321205588285577
B,20,0.625,7.159866681915648,5.085486979940563,0.021724194612403283,5.108530532667361,0.7102767699272192,0.7134952031398099,0.7134952031398099
B,20,0.75,7.159866681915648,5.534832648281774,0.024221797271865977,5.562284482538402,0.7730357133969581,0.7768698398515702,0.7768698398515702
B,20,0.875,7.159866681915648,5.948409898975846,0.0260106791939526,5.915668414019711,0.8307989747910121,0.8262260565495548,0.8262260565495548
B,20,1.0,7.159866681915648,6.226115624602279,0.027279777322438005,6.190884096582207,0.869585412858059,0.8646647167633873,0.8646647167633873
B,20,1.125,7.159866681915648,6.379477095447507,0.027496926497272995,6.40522228567541,0.8910050115263677,0.8946007754381357,0.8946007754381357
B,20,1.25,7.159866681915648,6.613207576927167,0.028484604594998207,6.572149035183302,0.9236495413567924,0.917915001376101,0.9179150013761012
B,20,1.375,7.159866681915648,6.660171430737988,0.028366521730198883,6.702151718415614,0.930208860949913,0.9360721387932924,0.9360721387932924
B,20,1.5,7.159866681915648,6.814306548216398,0.02955773792943501,6.803397909918322,0.9517365128359074,0.950212931632136,0.950212931632136
B,20,1.625,7.159866681915648,6.877435097818289,0.029463653901970838,6.882248523143629,0.9605535135436637,0.961225792168278,0.961225792168278
