regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
local,0.0,0.0,0.25,0.0,0.25,0.2517638733703757,0.0015956820343439012,0.24863633658306167,0.25489141015768974,0.25,10.0,0.6666666666666666
local,0.002,0.002,0.26387275413272204,0.019801326693244747,0.24407142743947732,0.2642926762198285,0.0016684430334596584,0.26102252787424757,0.2675628245654094,0.26387275413272204,10.0,0.6631229282973254
local,0.004,0.004,0.277494007617053,0.03921056084767682,0.23828344676937618,0.27865743243623925,0.0017610824200355352,0.2752057108929696,0.2821091539795089,0.277494007617053,10.0,0.6596026864316434
local,0.006,0.006,0.2908681903685527,0.05823546641575128,0.23263272395280143,0.29214503710440837,0.0018441955299505048,0.2885304138657054,0.29575966034311135,0.2908681903685527,10.0,0.6561057360371585
local,0.008,0.008,0.3039996576305408,0.07688365361336424,0.22711600401717655,0.3052169815033032,0.0019282690189396166,0.3014375742261815,0.30899638878042485,0.3039996576305408,10.0,0.6526318744154184
local,0.01,0.01,0.31689269114332974,0.09516258196404037,0.22173010917928937,0.3167421412203941,0.002007253265234082,0.3128079248205353,0.3206763576202529,0.31689269114332974,10.0,0.6491809011688172
local,0.012,0.012,0.3295515002976438,0.11307956328284252,0.21647193701480125,0.3271123182052112,0.00208523711259969,0.3230252534645158,0.33119938294590656,0.3295515002976438,10.0,0.6457526181679976
local,0.014,0.014,0.34198022327235883,0.13064176460119414,0.2113384586711647,0.3441758668244638,0.0021604687559793555,0.3399413480627443,0.34841038558618337,0.34198022327235883,10.0,0.6423468295198036
local,0.016,0.016,0.35418292815670926,0.14785621103378865,0.2063267171229206,0.35362150725674496,0.0022281818310636477,0.3492542708678602,0.3579887436456297,0.35418292815670926,10.0,0.6389633415357789
local,0.018000000000000002,0.018000000000000002,0.3661636140570979,0.164729788588728,0.2014338254683699,0.36711695341980166,0.002317691207259673,0.3625742786535727,0.3716596281860306,0.3661636140570979,10.0,0.6356019627011937
local,0.02,0.02,0.3779262121886565,0.18126924692201818,0.19665696526663834,0.379111108454597,0.0024188371879053676,0.37437018756630247,0.38385202934289153,0.3779262121886565,10.0,0.6322625036445951
local,0.022,0.022,0.38947458695169807,0.1974812020375215,0.19199338491417656,0.39139637741442124,0.0024670202898904323,0.386561017646236,0.39623173718260646,0.38947458695169807,10.0,0.6289447771078676
local,0.024,0.024,0.40081253699320685,0.21337213893344653,0.18744039805976034,0.39784164678055745,0.0025438578590222588,0.3928556853768738,0.40282760818424107,0.40081253699320685,10.0,0.6256485979167935
local,0.026000000000000002,0.026000000000000002,0.41194379625351185,0.22894841419643375,0.18299538205707813,0.41481776638331386,0.002649354964077673,0.40962503065372163,0.4200105021129061,0.41194379625351185,10.0,0.6223737829521061
