ell_c,radius,eta_S,regret,state_correlation
0.7,0,0.04601899199231007,0.04601899199231008,1.0
0.7,1,0.0028775254643445196,0.041975256924710935,0.6603025416954509
0.7,2,0.00016550998590644588,0.07703643858684472,0.38405052618918545
0.7,3,9.506675352633343e-06,0.113087994947498,0.21166839498729934
0.7,4,5.459992915543585e-07,0.1478566763036937,0.11320957792108573
0.7,5,3.13582132651256e-08,0.1812692725959517,0.05939725607093757
0.7,6,1.8009846379770402e-09,0.21337214035015117,0.030749925520648112
0.7,7,1.0343528473565544e-10,0.24421625862244922,0.01576326189434027
0.7,8,5.9404261836383245e-12,0.2738509629306227,0.008019856742287512
0.7,9,3.410189120569925e-13,0.3023236739292069,0.004055911615333591
0.7,10,1.9403317269106835e-14,0.32967995396437366,0.0020412732443410462
0.7,11,9.692720674914664e-16,0.35596357891685926,0.00102321630791954
0.7,12,4.7669118073350804e-17,0.38121660819385916,0.0005111683209105591
0.7,13,1.1917279518337701e-17,0.4054794520298056,0.00025462800165272745
0.7,14,2.3834559036675402e-17,0.42879093615118513,0.00012652183782104593
0.7,15,1.7875919277506553e-17,0.4511883639059736,6.273073391590537e-05
0.7,16,2.5820772289731686e-17,0.47270757595695145,3.104304128730308e-05
0.7,17,2.1848345783619118e-17,0.49338300763441045,1.5335973107471984e-05
0.7,18,1.588970602445027e-17,0.5132477440400284,7.564854906775384e-06
0.7,19,2.9793198795844254e-17,0.5323335729900907,3.726481718486367e-06
0.7,20,1.9862132530562837e-17,0.5506710358827784,1.833427456899416e-06
0.7,21,1.7875919277506553e-17,0.5682894765709203,9.01040095590216e-07
0.7,22,1.1917279518337701e-17,0.5852170883184186,4.4236730108466175e-07
0.7,23,1.1917279518337701e-17,0.6014809589154858,2.1697926219150854e-07
0.7,24,3.972426506112567e-18,0.6171071140248879,1.0633702395409837e-07
0.7,25,1.7875919277506553e-17,0.6321205588285577,5.2073773701920114e-08
0.7,26,9.931066265281418e-18,0.6465453180412198,2.5484862565061438e-08
0.7,27,1.1917279518337701e-17,0.6604044743550608,1.2469328643595912e-08
0.7,28,1.588970602445027e-17,0.6737202053769604,6.108495009919758e-09
0.7,29,1.9862132530562837e-17,0.6865138191173947,3.0138747421585457e-09
0.7,30,2.3834559036675402e-17,0.6988057880877978,1.5337106307888422e-09
0.7,31,2.5820772289731686e-17,0.7106157820609493,8.766094036415697e-10
0.7,32,1.3903492771393985e-17,0.7219626995468058,6.90767142247993e-10
2.0,0,0.25805370569827907,0.258053705698279,1.0
2.0,1,0.10086759709721145,0.1361230828913491,0.6603025416954509
2.0,2,0.037152900560167186,0.11118010343613172,0.38405052618918545
2.0,3,0.013669057573901432,0.12520292979579917,0.21166839498729934
2.0,4,0.005028615814945615,0.15214131476759185,0.11320957792108573
2.0,5,0.0018499267882965409,0.1827838388745393,0.05939725607093757
2.0,6,0.0006805501616341134,0.21390747865144133,0.030749925520648112
2.0,7,0.0002503604205951765,0.2444054768796644,0.01576326189434027
2.0,8,9.210245214130944e-05,0.2739178430332436,0.008019856742287512
2.0,9,3.388259872732235e-05,0.30234731301596673,0.004055911615333591
2.0,10,1.246471156142875e-05,0.3296883093103884,0.0020412732443410462
2.0,11,4.585511197335506e-06,0.35596653215307894,0.00102321630791954
2.0,12,1.6869153695021235e-06,0.3812176520290732,0.0005111683209105591
2.0,13,6.205815550806062e-07,0.4054798209782918,0.00025462800165272745
2.0,14,2.2829926595387245e-07,0.4287910665577951,0.00012652183782104593
2.0,15,8.398667496147392e-08,0.45118840999883814,6.273073391590537e-05
2.0,16,3.089703764112377e-08,0.4727075922487253,3.104304128730308e-05
2.0,17,1.1366449018614972e-08,0.4933830133928466,1.5335973107471984e-05
2.0,18,4.181544034208824e-09,0.5132477460754044,7.564854906775384e-06
2.0,19,1.5383616375336594e-09,0.5323335737095308,3.726481718486367e-06
2.0,20,5.65984852441733e-10,0.5506710361370917,1.833427456899416e-06
2.0,21,2.0826229511168055e-10,0.5682894766608293,9.01040095590216e-07
2.0,22,7.665759155272421e-11,0.5852170883502148,4.4236730108466175e-07
2.0,23,2.8236086124816772e-11,0.6014809589267385,2.1697926219150854e-07
2.0,24,1.0415065197215157e-11,0.6171071140288757,1.0633702395409837e-07
2.0,25,3.8507338804191004e-12,0.6321205588299743,5.2073773701920114e-08
2.0,26,1.4270500159422482e-12,0.6465453180417242,2.5484862565061438e-08
2.0,27,5.270600372823083e-13,0.6604044743552397,1.2469328643595912e-08
2.0,28,1.8876027105352216e-13,0.673720205377022,6.108495009919758e-09
2.0,29,5.996866778005361e-14,0.6865138191174135,3.0138747421585457e-09
2.0,30,1.3023236646899638e-14,0.6988057880878018,1.5337106307888422e-09
