graph,sweep,value,radius_count,diameter,rstar,eta_at_rstar,rstar_regret,left_regret_gap,right_regret_gap
path,latency_per_hop,0.05,64,63,3,0.013274622161110219,0.07073703476381632,0.0037256750297326446,0.010578894000505268
path,latency_per_hop,0.08,64,63,2,0.03669081643629856,0.09641116972338282,0.0332043027337231,0.007184330768187808
path,latency_per_hop,0.12,64,63,2,0.03669081643629856,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,latency_per_hop,0.18,64,63,1,0.10131273896523682,0.16374373793520292,0.10146676845087388,0.0021386424240723567
path,latency_per_hop,0.28,64,63,1,0.10131273896523682,0.19653381498314548,0.06867669140293131,0.033478575517391085
ring,latency_per_hop,0.05,33,32,3,0.014345642854775159,0.07174568406784476,0.0049288028577720855,0.010009718113201727
ring,latency_per_hop,0.08,33,32,2,0.03899285790546713,0.09857049613058999,0.035476355440863805,0.0059979881216402076
ring,latency_per_hop,0.12,33,32,2,0.03899285790546713,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,latency_per_hop,0.18,33,32,2,0.03899285790546713,0.16787568986295254,0.0001256703261960368,0.03794779913972923
ring,latency_per_hop,0.28,33,32,1,0.10588821547344453,0.20062449348063638,0.07182436929077551,0.031227953606152603
grid,latency_per_hop,0.05,15,14,3,0.029541502839516214,0.08605660605878596,0.030721394262303803,0.00010383602767605193
grid,latency_per_hop,0.08,15,14,3,0.029541502839516214,0.11837337624158573,0.019349606928089402,0.010615265143051111
grid,latency_per_hop,0.12,15,14,3,0.029541502839516214,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,latency_per_hop,0.18,15,14,2,0.08073302673044415,0.20401799065042292,0.05589646066921483,0.014049339184291298
grid,latency_per_hop,0.28,15,14,2,0.08073302673044415,0.26521599573972543,0.023717625018929933,0.04127193895386627
geometric,latency_per_hop,0.05,9,8,3,0.013000499148618318,0.07047887543281228,0.021841382263854348,0.008599795962144885
geometric,latency_per_hop,0.08,9,8,3,0.013000499148618318,0.10334646959874538,0.010498768953768556,0.01889229686748295
geometric,latency_per_hop,0.12,9,8,2,0.05527714469452022,0.14175328079728855,0.07390982693543657,0.003615944074949251
geometric,latency_per_hop,0.18,9,8,2,0.05527714469452022,0.18197605427947594,0.05228704616405466,0.02276360495306229
geometric,latency_per_hop,0.28,9,8,2,0.05527714469452022,0.24486872396969017,0.019419349767210825,0.04979862729299722
path,T,1.5,64,63,1,0.10131273896523682,0.23418923228617028,0.031021274099906515,0.06630473166480455
path,T,2.5,64,63,1,0.10131273896523682,0.1835749616505734,0.08163554473550338,0.02139935267318893
path,T,4.0,64,63,2,0.03669081643629856,0.1456213982200335,0.00802681255345683,0.030196286827609775
path,T,6.0,64,63,2,0.03669081643629856,0.11075354602798293,0.025797224469089497,0.014099550939246752
path,T,9.0,64,63,2,0.03669081643629856,0.0867213014437399,0.03823971936150128,0.002416372878651485
